date,site_id,day_of_week,week_number,month,is_holiday_period,forecast_demand,actual_demand,transactions_or_jobs_completed,scheduled_hours,actual_hours_worked,overtime_hours,agency_hours,absence_hours,service_level_score,customer_wait_time_or_delay_index,labour_cost_gbp,agency_cost_gbp,overtime_cost_gbp
2024-01-01,1,0,1,1,0,113.6,117.1,321,9.0,8.8,0.0,0.0,0.2,0.867,3.7,1019.28,0.0,0.0
2024-01-02,1,1,1,1,0,102.7,104.1,331,8.1,7.9,0.0,0.0,0.2,0.903,2.9,992.48,0.0,0.0
2024-01-03,1,2,1,1,0,110.1,105.6,474,8.7,9.5,0.0,1.0,0.2,0.931,3.9,1165.02,182.28,0.0
2024-01-04,1,3,1,1,0,131.0,125.6,436,9.7,10.1,0.0,0.7,0.3,0.838,3.9,1263.52,132.78,0.0
2024-01-05,1,4,1,1,0,122.7,128.3,425,9.6,10.7,0.0,1.4,0.3,0.934,2.1,1262.37,248.44,0.0
2024-01-06,1,5,1,1,0,182.4,189.7,507,13.7,15.2,0.5,1.6,0.6,0.891,4.5,1774.79,262.95,83.67
2024-01-07,1,6,1,1,0,175.5,180.9,550,14.2,15.7,0.0,2.0,0.5,0.91,2.7,1976.76,397.45,0.0
2024-01-08,1,0,2,1,0,133.9,134.1,419,11.7,12.0,0.0,0.8,0.5,0.965,3.4,1402.7,133.21,0.0
2024-01-09,1,1,2,1,0,96.2,97.2,408,7.7,7.5,0.0,0.0,0.2,0.908,2.3,856.25,0.0,0.0
2024-01-10,1,2,2,1,0,107.4,107.5,417,9.1,8.9,0.0,0.0,0.2,0.943,1.7,1027.82,0.0,0.0
2024-01-11,1,3,2,1,0,121.0,123.0,533,9.9,10.5,0.0,1.1,0.5,0.938,1.4,1249.81,208.61,0.0
2024-01-12,1,4,2,1,0,162.1,161.6,659,10.7,10.2,0.0,0.0,0.5,0.628,9.4,1269.01,0.0,0.0
2024-01-13,1,5,2,1,0,169.2,171.8,716,12.4,12.6,0.5,0.0,0.3,0.699,6.5,1458.5,0.0,80.83
2024-01-14,1,6,2,1,0,175.2,169.4,537,11.5,12.5,0.3,0.9,0.2,0.743,6.8,1472.7,159.15,52.35
2024-01-15,1,0,3,1,0,102.9,99.6,305,8.0,8.2,0.0,0.5,0.3,0.922,1.9,1016.81,87.45,0.0
2024-01-16,1,1,3,1,0,116.7,121.4,520,10.6,10.1,0.0,0.0,0.5,0.947,2.5,1213.72,0.0,0.0
2024-01-17,1,2,3,1,0,122.2,119.3,339,9.9,10.5,0.0,0.9,0.3,0.922,2.6,1283.4,160.54,0.0
2024-01-18,1,3,3,1,0,129.2,127.0,461,11.2,10.8,0.0,0.0,0.4,0.932,2.3,1326.44,0.0,0.0
2024-01-19,1,4,3,1,0,131.2,132.7,352,9.8,10.7,0.0,1.4,0.5,0.948,3.4,1321.89,274.87,0.0
2024-01-20,1,5,3,1,0,155.7,157.5,442,12.0,13.1,0.0,1.5,0.4,0.948,2.8,1639.79,267.36,0.0
2024-01-21,1,6,3,1,0,161.9,160.6,655,12.1,11.5,0.0,0.0,0.6,0.812,4.4,1332.75,0.0,0.0
