site_id,week_start_date,shift_type,scheduled_hours,actual_hours,agency_hours,overtime_hours,demand_volume,service_level_score
1,2024-01-01,Morning,95,92,0,0,270,0.909
1,2024-01-01,Afternoon,112,113,0,0,360,0.917
1,2024-01-01,Evening,60,59,0,0,180,0.89
1,2024-01-01,Weekend,41,47,4,3,315,0.886
1,2024-01-08,Morning,93,91,0,0,270,0.931
1,2024-01-08,Afternoon,116,111,0,0,360,0.924
1,2024-01-08,Evening,63,63,0,0,180,0.903
1,2024-01-08,Weekend,42,50,4,4,315,0.918
1,2024-01-15,Morning,91,90,0,0,270,0.96
1,2024-01-15,Afternoon,106,105,0,0,360,0.905
1,2024-01-15,Evening,64,64,0,0,180,0.868
1,2024-01-15,Weekend,48,56,6,3,315,0.9
1,2024-01-22,Morning,89,94,4,0,270,0.916
1,2024-01-22,Afternoon,103,102,0,0,360,0.929
1,2024-01-22,Evening,63,66,3,0,180,0.879
1,2024-01-22,Weekend,47,55,6,2,315,0.89
1,2024-01-29,Morning,98,94,0,0,270,0.901
1,2024-01-29,Afternoon,104,102,0,0,360,0.938
1,2024-01-29,Evening,56,56,0,0,180,0.917
1,2024-01-29,Weekend,42,45,3,1,315,0.902
1,2024-02-05,Morning,90,88,0,0,270,0.93
1,2024-02-05,Afternoon,112,106,0,0,360,0.919
1,2024-02-05,Evening,58,55,0,0,180,0.88
1,2024-02-05,Weekend,47,51,2,2,315,0.907
1,2024-02-12,Morning,93,92,0,0,270,0.956
1,2024-02-12,Afternoon,117,115,0,0,360,0.95
1,2024-02-12,Evening,60,60,0,0,180,0.917
1,2024-02-12,Weekend,47,55,5,3,315,0.885
1,2024-02-19,Morning,88,84,0,0,270,0.942
1,2024-02-19,Afternoon,109,108,0,0,360,0.916
1,2024-02-19,Evening,55,53,0,0,180,0.88
1,2024-02-19,Weekend,43,49,3,3,315,0.914
1,2024-02-26,Morning,89,89,0,0,270,0.937
1,2024-02-26,Afternoon,116,113,0,0,360,0.934
1,2024-02-26,Evening,64,64,0,0,180,0.869
1,2024-02-26,Weekend,45,50,2,3,315,0.903
1,2024-03-04,Morning,98,99,0,0,270,0.907
1,2024-03-04,Afternoon,102,102,0,0,360,0.917
