week_start_date,site_id,permanent_headcount,part_time_headcount,agency_headcount,turnover_events,absence_rate_pct,vacancy_count,training_hours
2024-01-01,1,25,5,1,0,6.63,0,15
2024-01-08,1,31,7,2,0,4.64,1,14
2024-01-15,1,28,7,1,0,4.82,1,12
2024-01-22,1,34,11,3,0,5.68,1,15
2024-01-29,1,31,6,2,0,4.73,1,23
2024-02-05,1,24,6,1,0,4.19,0,13
2024-02-12,1,31,7,1,1,4.98,1,13
2024-02-19,1,31,10,1,0,4.18,1,13
2024-02-26,1,32,8,2,0,5.01,1,15
2024-03-04,1,28,9,3,0,3.95,0,12
2024-03-11,1,28,7,2,0,2.11,1,20
2024-03-18,1,26,8,1,2,2.92,1,13
2024-03-25,1,30,9,2,0,4.78,1,14
2024-04-01,1,31,8,1,0,2.01,1,12
2024-04-08,1,32,11,3,0,3.76,1,22
2024-04-15,1,28,8,2,0,3.93,1,14
2024-04-22,1,28,5,2,0,2.14,1,15
2024-04-29,1,31,6,2,0,3.32,1,21
2024-05-06,1,27,9,2,0,3.04,1,18
2024-05-13,1,32,8,3,0,3.95,1,15
2024-05-20,1,26,9,2,0,2.13,0,9
2024-05-27,1,31,6,2,0,3.97,1,17
2024-06-03,1,32,9,3,0,4.56,1,16
2024-06-10,1,28,7,2,0,3.9,0,15
2024-06-17,1,26,7,2,0,4.75,0,11
2024-06-24,1,28,8,2,0,2.63,1,22
2024-07-01,1,29,9,2,0,3.73,1,17
2024-07-08,1,30,7,2,0,4.25,1,15
2024-07-15,1,33,10,2,0,2.86,1,18
2024-07-22,1,28,7,2,0,3.22,1,19
2024-07-29,1,30,7,3,0,2.59,1,17
2024-08-05,1,31,10,1,0,2.55,1,22
2024-08-12,1,30,7,2,0,3.68,0,22
2024-08-19,1,29,7,2,0,3.31,1,10
2024-08-26,1,31,7,2,0,2.5,1,12
2024-09-02,1,28,7,2,0,2.1,0,13
2024-09-09,1,32,10,3,0,2.05,1,10
2024-09-16,1,30,9,1,0,3.01,1,12
2024-09-23,1,29,7,3,0,3.65,1,19
2024-09-30,1,30,6,2,1,4.94,1,11
2024-10-07,1,29,8,3,0,3.87,1,20
2024-10-14,1,28,6,2,0,4.35,1,17
2024-10-21,1,27,7,1,0,3.56,0,9
2024-10-28,1,28,7,2,0,3.84,1,13
2024-11-04,1,29,6,3,0,4.81,1,9
2024-11-11,1,31,6,2,0,3.01,1,18
2024-11-18,1,29,5,1,0,3.34,1,9
2024-11-25,1,33,10,3,0,3.92,1,9
2024-12-02,1,29,6,1,0,6.06,0,10
2024-12-09,1,28,5,3,0,5.26,1,21
2024-12-16,1,30,6,1,0,6.0,1,15
2024-12-23,1,29,6,1,0,6.02,1,21
2024-12-30,1,29,6,2,0,4.48,1,21
2025-01-06,1,30,7,3,0,4.81,1,21
2025-01-13,1,31,10,2,0,5.84,1,22
2025-01-20,1,29,8,3,0,6.31,1,15
2025-01-27,1,29,7,2,0,4.6,1,14
